session_id,event_type,timestamp,page,event_data
session_1761945339854_4agjst254,time_update,2025-10-31T21:35:32.605Z,podium,"{""timeOnPage"": 30, ""totalTime"": 591}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:35:36.269Z,podium,"{""timeOnPage"": 30, ""totalTime"": 491}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:35:46.511Z,podium,"{""timeOnPage"": 10, ""totalTime"": 501}"
session_1761946026261_778t3192a,page_hidden,2025-10-31T21:35:46.513Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:35:46.579Z,podium,"{""timeOnPage"": 14, ""totalTime"": 605}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:35:46.587Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:35:58.400Z,podium,"{""timeOnPage"": 30, ""totalTime"": 533}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:36:02.614Z,podium,"{""timeOnPage"": 16, ""totalTime"": 621}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:36:06.532Z,podium,"{""timeOnPage"": 20, ""totalTime"": 521}"
session_1761946026261_778t3192a,page_visible,2025-10-31T21:36:08.644Z,podium,{}
session_1761945339854_4agjst254,page_visible,2025-10-31T21:36:08.780Z,podium,{}
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:36:18.530Z,podium,"{""timeOnPage"": 60, ""totalTime"": 1382}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:36:28.448Z,podium,"{""timeOnPage"": 30, ""totalTime"": 563}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:36:32.616Z,podium,"{""timeOnPage"": 24, ""totalTime"": 645}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:36:36.264Z,podium,"{""timeOnPage"": 28, ""totalTime"": 549}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:36:58.471Z,podium,"{""timeOnPage"": 30, ""totalTime"": 593}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:37:02.788Z,podium,"{""timeOnPage"": 30, ""totalTime"": 675}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:37:06.277Z,podium,"{""timeOnPage"": 30, ""totalTime"": 579}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:37:18.536Z,podium,"{""timeOnPage"": 60, ""totalTime"": 1442}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:37:28.708Z,podium,"{""timeOnPage"": 30, ""totalTime"": 623}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:37:32.801Z,podium,"{""timeOnPage"": 30, ""totalTime"": 705}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:37:36.270Z,podium,"{""timeOnPage"": 30, ""totalTime"": 609}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:37:39.053Z,podium,"{""timeOnPage"": 6, ""totalTime"": 711}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:37:39.058Z,podium,{}
session_1761946026261_778t3192a,time_update,2025-10-31T21:37:39.125Z,podium,"{""timeOnPage"": 3, ""totalTime"": 611}"
session_1761946026261_778t3192a,page_hidden,2025-10-31T21:37:39.126Z,podium,{}
session_1761945339854_4agjst254,page_visible,2025-10-31T21:37:41.004Z,podium,{}
session_1761946026261_778t3192a,page_visible,2025-10-31T21:37:40.947Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:37:42.531Z,podium,"{""timeOnPage"": 2, ""totalTime"": 713}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:37:42.536Z,podium,{}
session_1761946026261_778t3192a,time_update,2025-10-31T21:37:42.618Z,podium,"{""timeOnPage"": 2, ""totalTime"": 613}"
session_1761946026261_778t3192a,page_hidden,2025-10-31T21:37:42.620Z,podium,{}
session_1761945196255_tkphcgf6s,page_visible,2025-10-31T21:37:42.554Z,podium,{}
session_1761946026261_778t3192a,page_visible,2025-10-31T21:37:43.923Z,podium,{}
session_1761945339854_4agjst254,page_visible,2025-10-31T21:37:44.009Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:37:44.795Z,podium,"{""timeOnPage"": 1, ""totalTime"": 714}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:37:44.798Z,podium,{}
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:37:46.279Z,podium,"{""timeOnPage"": 4, ""totalTime"": 1446}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:37:46.652Z,podium,"{""timeOnPage"": 3, ""totalTime"": 616}"
session_1761946026261_778t3192a,page_hidden,2025-10-31T21:37:46.690Z,podium,{}
session_1761945196255_tkphcgf6s,session_end,2025-10-31T21:37:50.649Z,podium,"{""totalDuration"": 1450, ""totalEvents"": 35}"
session_1761945196255_tkphcgf6s,page_view,2025-10-31T21:37:51.443Z,podium,"{""page"": ""input""}"
session_1761946026261_778t3192a,page_visible,2025-10-31T21:37:54.889Z,podium,{}
session_1761945339854_4agjst254,page_visible,2025-10-31T21:37:54.953Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:37:55.588Z,podium,"{""timeOnPage"": 1, ""totalTime"": 714}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:37:55.592Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:37:58.739Z,podium,"{""timeOnPage"": 30, ""totalTime"": 653}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:38:00.087Z,podium,"{""timeOnPage"": 5, ""totalTime"": 621}"
session_1761946026261_778t3192a,page_hidden,2025-10-31T21:38:00.089Z,podium,{}
session_1761945196255_tkphcgf6s,page_hidden,2025-10-31T21:38:00.293Z,podium,{}
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:38:00.290Z,podium,"{""timeOnPage"": 9, ""totalTime"": 9}"
session_1761945934021_7hi1bxa28,page_view,2025-10-31T21:38:01.804Z,podium,"{""page"": ""input""}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:38:02.895Z,podium,"{""timeOnPage"": 7, ""totalTime"": 721}"
session_1761945934021_7hi1bxa28,time_update,2025-10-31T21:38:05.792Z,podium,"{""timeOnPage"": 4, ""totalTime"": 4}"
session_1761945934021_7hi1bxa28,page_hidden,2025-10-31T21:38:05.793Z,podium,{}
session_1761946026261_778t3192a,page_visible,2025-10-31T21:38:05.827Z,podium,{}
session_1761946026261_778t3192a,time_update,2025-10-31T21:38:06.263Z,podium,"{""timeOnPage"": 0, ""totalTime"": 622}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:38:07.486Z,podium,"{""timeOnPage"": 1, ""totalTime"": 623}"
session_1761946026261_778t3192a,page_hidden,2025-10-31T21:38:07.488Z,podium,{}
